City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Madimba,TZ,71.49,clear sky,-10.4,40.3333,
550,Vanimo,PG,77.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
551,Mwene-Ditu,CD,71.17,few clouds,-7.0,23.45,Hôtel Kamas
553,Benghazi,LY,73.24,clear sky,32.1167,20.0667,Tibesti Hotel
554,San Vicente,AR,76.87,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
558,Kupang,ID,78.62,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
560,Hualmay,PE,71.4,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
563,Rodrigues Alves,BR,89.8,few clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
565,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
566,Tricase,IT,71.31,clear sky,39.9304,18.3553,Hotel Adriatico
569,Guilin,CN,75.31,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
570,Ambon,ID,80.78,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
571,Lata,PT,76.71,overcast clouds,40.1629,-8.3327,Casa Maquia
574,Russell,US,88.97,few clouds,32.3502,-85.1999,Macs
575,San Bartolo,MX,79.48,overcast clouds,19.1833,-100.05,Hotel Finca los Girasoles
579,Sokoni,TZ,78.98,clear sky,-6.4333,39.55,Ujamaa Beach Resort
582,Jablah,SY,73.69,clear sky,35.3614,35.9256,مدرسة سعد بن ابي وقاص الابتدائيه
583,Westport,US,83.35,broken clouds,41.1415,-73.3579,The Westport Inn
587,Port-Gentil,GA,79.39,scattered clouds,-0.7193,8.7815,Fengshui Residence
589,Morgan City,US,89.04,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
591,Boende,CD,78.57,broken clouds,-0.2167,20.8667,
593,Key West,US,82.4,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
595,Yokadouma,CM,72.1,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
596,Shache,CN,75.49,broken clouds,38.4167,77.2406,Delong Hotel
598,Leninskoye,KZ,82.33,few clouds,41.7589,69.3864,
600,Caruray,PH,80.71,overcast clouds,10.3094,119.0128,
602,Phonhong,LA,76.87,heavy intensity rain,18.5007,102.4166,Manyvong Guest House
604,Dhrangadhra,IN,87.39,broken clouds,22.9833,71.4667,Rutu raj garden
610,Lishui,CN,73.8,light rain,28.4604,119.9103,Bayi Hotel
615,Muros,ES,73.69,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
618,Miri,MY,79.23,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
619,Clinton,US,70.97,broken clouds,42.586999999999996,-82.9199,Hampton Inn Detroit/Roseville
621,Boali,CF,73.04,moderate rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
622,Lagos,NG,82.27,scattered clouds,6.5833,3.75,
623,Sechura,PE,77.56,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
625,Ilhabela,BR,74.44,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
628,Atambua,ID,70.23,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
634,Kulhudhuffushi,MV,82.6,overcast clouds,6.6221,73.07,Haajy Guest House 1
635,Urucara,BR,85.3,broken clouds,-2.5364,-57.76,Hotel japa
638,Mawlaik,MM,80.26,overcast clouds,23.6333,94.4167,AKZ Guest House
639,Lamar,US,84.88,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
641,Martapura,ID,80.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
643,Ranong,TH,79.09,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
644,Gizo,SB,76.15,moderate rain,-8.103,156.8419,Imagination Island
645,Luba,GQ,81.77,broken clouds,3.4568,8.5547,
646,Pedro Ii,BR,87.03,clear sky,-4.4247,-41.4586,Opala Hotel Pedro II
647,Puerto Colombia,CO,89.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
651,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
652,Manokwari,ID,77.99,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
654,Suez,EG,77.9,clear sky,29.9737,32.5263,Green House
655,Bocaiuva,BR,89.76,few clouds,-17.1078,-43.815,Hotel Maxim's
660,Takaungu,KE,81.09,few clouds,-3.6837,39.8566,Takaungu House
661,Yumen,CN,70.25,overcast clouds,40.2833,97.2,
662,Tabou,CI,82.24,scattered clouds,4.423,-7.3528,hotêl doufoulougou
664,Bagado,CO,85.62,moderate rain,5.4116,-76.4152,Hotel San Jose
665,Palmer,US,80.11,few clouds,42.1584,-72.3287,Wedgewood Motel
669,Tres Passos,BR,74.26,scattered clouds,-27.4556,-53.9319,Hotel Imperial
671,Gushikawa,JP,78.8,broken clouds,26.3544,127.8686,Kirari Guest House
